Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Vol,Latitude,Longitude,Deaths,path_cost,path_safety
"[""1800 <= Year >= 2025"",""Country = INDIA""]",,,,,,,,,,,0,0
,1819,6,16,,,,,23,71,,0,0
,1845,6,19,,,,,23.583,68.367,,0,0
,1847,10,31,,,,,7.333,93.667,,0,0
,1868,8,19,,,,,11.67,92.73,,0,0
,1876,,,,,,,,,,0,0
,1881,12,31,,,,,8.52,92.43,,0,0
,1884,,,,,,,,,,0,0
,1897,6,12,11,6,46,,26,90.7,,0,0
,1905,4,4,0,49,59.2,,32.597,76.916,,0,0
,1941,6,26,11,52,3.7,,11.94,92.626,,0,0
,1950,8,15,14,9,30,,28.5,96.5,,0,0
,1955,5,17,14,49,49,,6.5,94,,0,0
,1978,6,12,,,,,,,,0,0
,2002,9,13,22,28,29.4,,13.036,93.068,,0,0
,2009,8,10,19,55,35.6,,14.099,92.888,,0,0
,2010,6,12,19,26,50.4,,7.881,91.936,,0,0
